"codgeo","libgeo","year0","value0","year1","value1"
"0050","Mont-de-Marsan",2012,19162,2014,"19698,8"
"0051","Alençon",2012,"18501,125",2014,"19125,5"
"0052","Cosne - Clamecy",2012,"18684,6666666667",2014,19454
"0053","Mâcon",2012,19826,2014,"20573,9"
"0054","Nogent-le-Rotrou",2012,"18881,1111111111",2014,19513
"0055","La Vallée de la Bresle - Vimeu",2012,"17942,5",2014,"18657,3"
"0056","Roissy - Sud Picardie",2012,"19299,0476190476",2014,"19703,9"
"0057","Brive-la-Gaillarde",2012,"18873,8095238095",2014,"19539,3"
"0059","Avignon",2012,18199,2014,18719
"0060","Saint-Étienne",2012,18921,2014,"19563,2"
"0061","Toulouse",2012,"21259,5238095238",2014,"21748,3"
"0101","Pointe-à-Pitre",2012,,2014,
"0102","Basse-Terre",2012,,2014,
"0103","Marie-Galante",2012,,2014,
"0106","L'Est - Grande-Terre",2012,,2014,
"0201","Le Centre agglomération",2012,,2014,17250
"0202","Le Sud-Caraibe",2012,,2014,"17246,7"
"0203","Le Sud",2012,,2014,14972
"0204","Le Centre-Atlantique",2012,,2014,"14612,6"
"0205","Le Nord-Caraibe",2012,,2014,"15617,3"
"0206","Le Nord-Atlantique",2012,,2014,13369
"0301","Cayenne",2012,,2014,
"0302","Kourou",2012,,2014,
"0303","Saint-Laurent",2012,,2014,
"0401","L'Est",2012,,2014,"12522,3"
"0402","Le Nord",2012,,2014,"15483,8"
"0403","L'Ouest",2012,,2014,"14344,6"
"0404","Le Sud",2012,,2014,13134
"0601","Mayotte",2012,,2014,
"1101","Paris",2012,"23144,7619047619",2014,23464
"1102","Marne-la-Vallée",2012,"22223,5",2014,"22729,1"
"1103","Coulommiers",2012,"20637,2222222222",2014,21088
"1104","Meaux",2012,20402,2014,20901
"1105","Melun",2012,"21782,7777777778",2014,"22274,4"
"1106","Montereau-Fault-Yonne",2012,"18304,375",2014,18918
"1107","Nemours",2012,"20038,6666666667",2014,"20406,5"
"1108","Provins",2012,19493,2014,"19936,5"
"1109","Houdan",2012,"28156,8901098901",2014,28660
"1110","Mantes-la-Jolie",2012,"20294,8",2014,"20639,5"
"1111","Poissy",2012,"22490,6666666667",2014,"22812,4"
"1112","Rambouillet",2012,"25996,6666666667",2014,"26503,5"
"1113","Plaisir",2012,"25301,7391304348",2014,"25639,6"
"1114","Étampes",2012,21184,2014,"21611,9"
"1115","Évry",2012,20586,2014,20954
"1116","Saclay",2012,"25449,5",2014,"25742,4"
"1117","Créteil",2012,"22279,3333333333",2014,22665
"1118","Orly",2012,19040,2014,"19307,2"
"1119","Cergy",2012,"22059,0909090909",2014,22519
"2101","Charleville-Mézières",2012,17416,2014,"18133,9"
"2102","Troyes",2012,18721,2014,"19275,4"
"2103","Châlons-en-Champagne",2012,"19554,7826086957",2014,20204
"2104","Épernay",2012,"20352,8571428571",2014,"20892,8"
"2105","Reims",2012,"19630,5555555556",2014,"20157,6"
"2106","Chaumont - Langres",2012,18689,2014,"19445,2"
"2107","Vitry-le-François - Saint-Dizier",2012,"17676,6666666667",2014,"18309,1"
"2201","Château-Thierry",2012,"19209,5238095238",2014,19791
"2202","Tergnier",2012,17090,2014,17820
"2203","La Thiérache",2012,"16258,6666666667",2014,17014
"2204","Laon",2012,"17987,619047619",2014,"18675,2"
"2205","Saint-Quentin",2012,"17320,8333333333",2014,18056
"2206","Soissons",2012,"18163,2",2014,18851
"2207","Beauvais",2012,"19732,1428571429",2014,"20284,7"
"2208","Compiègne",2012,"19973,3333333333",2014,20690
"2209","Abbeville",2012,17625,2014,18402
"2210","Amiens",2012,"18778,0952380952",2014,"19447,6"
"2211","Péronne",2012,17420,2014,"18158,8"
"2301","Bernay",2012,"18978,8461538462",2014,"19609,3"
"2302","Évreux",2012,19920,2014,20419
"2303","Pont-Audemer",2012,18947,2014,"19704,7"
"2304","Vernon - Gisors",2012,"20011,7391304348",2014,20639
"2305","Dieppe - Caux maritime",2012,"18633,4166666667",2014,"19348,6"
"2306","Le Havre",2012,"19222,6666666667",2014,"19937,6"
"2307","Rouen",2012,19716,2014,"20349,3"
"2401","Bourges",2012,19496,2014,"20116,7"
"2402","Saint-Amand-Montrond",2012,"17587,3913043478",2014,"18264,3"
"2403","Vierzon",2012,"18039,3333333333",2014,"18668,9"
"2404","Chartres",2012,20862,2014,"21386,8"
"2405","Châteaudun",2012,19088,2014,"19617,5"
"2406","Dreux",2012,19682,2014,20246
"2407","Le Blanc",2012,17765,2014,18244
"2408","Issoudun",2012,"18813,3333333333",2014,"19590,5"
"2409","Châteauroux",2012,"18460,8695652174",2014,19134
"2410","Chinon",2012,"19341,3333333333",2014,"20286,2"
"2411","Loches",2012,"18503,5",2014,19170
"2412","Tours",2012,"20074,7619047619",2014,20669
"2413","Blois",2012,19886,2014,"20426,5"
"2414","Romorantin-Lanthenay",2012,18549,2014,"19111,7"
"2415","Vendôme",2012,"19298,0952380952",2014,19929
"2416","Gien",2012,"19159,5833333333",2014,"19763,3"
"2417","Montargis",2012,"19013,3333333333",2014,"19521,9"
"2418","Orléans",2012,20852,2014,21314
"2419","Pithiviers",2012,"19696,8",2014,"20135,4"
"2501","Bayeux",2012,"18832,9166666667",2014,"19616,7"
"2502","Caen",2012,"19839,6428571429",2014,"20447,3"
"2503","Honfleur",2012,19357,2014,"19949,3"
"2504","Lisieux",2012,17890,2014,"18668,5"
"2505","Vire Normandie",2012,"17836,1904761905",2014,"18619,5"
"2506","Avranches",2012,"18373,0434782609",2014,"19247,3"
"2507","Cherbourg-en-Cotentin",2012,18855,2014,"19788,7"
"2508","Coutances",2012,"18192,0833333333",2014,19076
"2509","Granville",2012,19105,2014,"19896,6"
"2510","Saint-Lô",2012,"18837,2222222222",2014,"19621,4"
"2511","Argentan",2012,"18071,5",2014,18835
"2512","Flers",2012,"18059,5",2014,"18796,7"
"2513","L'Aigle",2012,"17989,5652173913",2014,"18533,5"
"2601","Beaune",2012,20356,2014,"21106,7"
"2602","Chatillon",2012,"18218,4",2014,"18926,7"
