"codgeo","libgeo","codreg","libreg","empl_tot_2015","empl_tot_2014","empl_tot_2013","empl_tot_2012","empl_tot_2011","empl_tot_2010","empl_tot_2009","empl_tot_2008","empl_tot_2007","empl_tot_2006","empl_tot_2005","empl_tot_2004","empl_tot_2003","empl_tot_2002","empl_tot_2001","empl_tot_2000","1999empl_tot_","empl_tot_1998"
"0050","Mont-de-Marsan",,"INT-INTERREGIONAL",66882,67157,66342,65603,65455,64844,65522,65141,65436,63393,63148,62252,62049,62397,61525,60875,61773,61892
"0051","Alençon",,"INT-INTERREGIONAL",44116,44604,45448,45411,46015,47620,47655,48087,48664,49092,49355,48994,48825,49029,48836,49201,48193,47204
"0052","Cosne-Clamecy",,"INT-INTERREGIONAL",24119,24538,23872,24043,24542,24433,24532,25222,25526,25537,25451,25645,25116,25031,25151,24660,24156,23776
"0053","Mâcon",,"INT-INTERREGIONAL",60849,60756,60874,60708,61129,60920,61109,61321,62007,61075,59968,60533,60866,59518,58960,57790,56521,55961
"0054","Nogent-le-Rotrou",,"INT-INTERREGIONAL",16531,16611,16692,16835,17170,17312,17106,17444,18472,18860,18849,19024,19536,19827,19487,19984,18581,18268
"0055","Vallée de la Bresle-Vimeu",12,"INT-INTERREGIONAL",34403,35041,35266,35913,36195,36121,36145,37278,38579,37879,38050,38397,38135,38401,38251,38450,37200,36771
"0056","Roissy-Sud Picardie",,"INT-INTERREGIONAL",566715,563971,561856,560326,563158,561174,561504,573186,579602,573379,559727,553008,547725,543785,538454,532103,510026,490999
"0057","Brive-la-Gaillarde",,"INT-INTERREGIONAL",71304,71634,71680,71522,71657,72306,71828,73109,74725,73923,72823,72165,70997,71774,70840,70275,68394,67144
"0059","Avignon",,"INT-INTERREGIONAL",202510,201897,203222,201094,199038,196981,194474,196102,195327,192967,190550,188642,186804,184982,181613,174606,169751,164169
"0060","Saint-Étienne",84,"AUVERGNE-RHONE-ALPES",246983,247858,249060,249437,249727,251414,247761,251294,255833,252498,250053,248441,251765,251765,251633,250618,246657,243850
"0061","Toulouse",76,"OCCITANIE",668936,661019,656593,644801,633654,625282,615970,610171,605783,594575,577509,564371,544831,544831,537580,518245,503669,487564
"0101","Pointe à Pitre",1,"GUADELOUPE",88242,85489,86004,86136,86274,86843,85826,85912,84041,84441,81334,79145,77705,78474,77592,80947,78091,77048
"0102","Basse-Terre",1,"GUADELOUPE",23603,23567,23497,23213,23306,24048,22589,23383,22212,22747,21394,22724,21882,22817,21959,18999,18352,17367
"0103","Marie-Galante",1,"GUADELOUPE",2646,3373,3323,3245,3139,3309,3252,3196,3338,2814,2925,2927,3053,3371,3304,2852,2797,2785
"0106","Est - Grande-Terre",1,"GUADELOUPE",14746,15407,15578,15096,15117,15500,14919,14685,14287,14397,13632,13697,14589,13309,13448,12074,11023,10758
"0201","Centre agglomération",2,"MARTINIQUE",83326,81712,81722,82144,82765,84854,83805,87997,86885,87213,84357,83273,81487,84537,84115,82508,82782,79174
"0202","Sud-Caraibe",2,"MARTINIQUE",15801,15164,15108,15189,15469,15880,15209,15818,15554,14890,15444,14489,14105,13640,12878,11360,11733,10255
"0203","Sud",2,"MARTINIQUE",11538,11452,11370,11075,11026,11428,11041,10830,10894,10900,10430,10007,9681,9615,9361,9239,10677,9569
"0204","Centre-Atlantique",2,"MARTINIQUE",12800,12725,12517,12910,12999,13824,13539,13211,13888,13872,12954,12493,11925,11220,10426,11385,11374,10612
"0205","Nord-Caraibe",2,"MARTINIQUE",5281,5703,5647,5364,5347,5626,5369,5413,5378,5769,5719,4714,5821,4270,5206,5354,4667,5741
"0206","Nord-Atlantique",2,"MARTINIQUE",5087,5284,5287,5139,4841,5077,5155,4943,4848,4692,4199,4492,4357,4506,4358,4101,4036,3690
